3	10	0.004733640918923824
8	10	0.00646360607403253
9	15	0.009634247251021112
8	1st	0.00924732969073914
1	2	0.0077675664795221686
8	2	0.004835232145887294
2	2	0.003079214333314415
1	20	0.01485538769673578
3	2003	0.006772309097041311
2	3	0.0058889644322098365
3	6	0.004733640918923824
8	6	0.019390818222097594
3	7	0.004733640918923824
8	7	0.00646360607403253
10	a	0.0
1	a	0.0
9	a	0.0
7	a	0.0
6	a	0.0
5	a	0.0
3	a	0.0
8	a	0.0
4	a	0.0
2	a	0.0
3	ability	0.004733640918923824
2	ability	0.0041162094947163694
10	about	0.0066517834493145635
4	about	0.009788396783137693
2	about	0.00615842866662883
3	above	0.006772309097041311
10	act	0.012721464602177048
5	acting	0.011342783709330275
7	action	0.009594104554141858
5	actors	0.011342783709330275
7	actual	0.009594104554141858
7	actually	0.006705991301808751
6	actually	0.010948557227442859
2	advance	0.0058889644322098365
10	after	0.005062379734111354
9	after	0.0038338524346198956
7	after	0.003817878049475646
3	after	0.0026949727408063385
5	aftermath	0.011342783709330275
6	aftertaste	0.015663844170027523
5	again	0.011342783709330275
2	aging	0.0058889644322098365
7	agree	0.009594104554141858
8	airstation	0.00924732969073914
1	all	0.004471917293935131
7	all	0.0028881132523331052
6	all	0.009430573885169323
3	all	0.002038668178117486
2	all	0.003545509874986933
8	allowed	0.00924732969073914
3	almost	0.006772309097041311
6	along	0.015663844170027523
10	also	0.0088919221681442
2	also	0.0041162094947163694
5	always	0.007928265578493104
2	always	0.0041162094947163694
6	amazing	0.015663844170027523
9	an	0.007667704869239791
6	an	0.006233270284858198
8	an	0.007359764914651848
2	an	0.0046869091144458065
10	and	0.0
1	and	0.0
9	and	0.0
7	and	0.0
6	and	0.0
5	and	0.0
3	and	0.0
8	and	0.0
4	and	0.0
2	and	0.0
3	any	0.0026949727408063385
8	any	0.007359764914651848
4	any	0.007449518145318335
2	any	0.0023434545572229033
1	anyone	0.01485538769673578
3	anything	0.004733640918923824
2	anything	0.0041162094947163694
3	appear	0.006772309097041311
9	applause	0.019268494502042224
1	appreciated	0.010383470402800648
2	appreciated	0.0041162094947163694
9	are	0.006412037118401557
6	are	0.003475004243306059
5	are	0.002516382383083698
3	are	0.0015024283051940904
8	are	0.0020515085291806854
2	are	0.0013064593958209483
1	around	0.0077675664795221686
6	around	0.008190291185890722
3	around	0.0035410964833115766
9	as	0.005800394816401215
7	as	0.0028881132523331052
6	as	0.009430573885169323
8	as	0.0027837236167066073
2	as	0.0017727549374934664
10	ashton	0.0038295424340328466
7	ashton	0.0028881132523331052
5	ashton	0.003414518130837169
4	ashton	0.0056353429313816695
2	ashton	0.0017727549374934664
10	asked	0.012721464602177048
8	assist	0.00924732969073914
1	at	0.010383470402800648
2	at	0.0041162094947163694
9	audience	0.0050375431143344605
7	audience	0.005016553351358067
2	audience	0.003079214333314415
8	aviation	0.00924732969073914
3	bad	0.013544618194082623
7	bar	0.009594104554141858
8	based	0.00924732969073914
3	battening	0.006772309097041311
1	be	0.006591298371174074
9	be	0.002137345706133852
7	be	0.0021284400990249615
8	be	0.004103017058361371
4	be	0.004153053851756023
2	be	0.003919378187462844
3	became	0.006772309097041311
5	because	0.007928265578493104
2	because	0.0041162094947163694
9	becomes	0.006734049842820502
3	becomes	0.004733640918923824
7	been	0.0028881132523331052
5	been	0.003414518130837169
3	been	0.002038668178117486
8	been	0.0027837236167066073
2	been	0.0017727549374934664
9	before	0.009634247251021112
2	beginning	0.0058889644322098365
7	behavior	0.009594104554141858
1	being	0.010383470402800648
2	being	0.0041162094947163694
5	believable	0.011342783709330275
10	believe	0.012721464602177048
7	ben	0.009594104554141858
1	best	0.010383470402800648
3	best	0.004733640918923824
10	between	0.012721464602177048
3	big	0.006772309097041311
6	bit	0.015663844170027523
2	boat	0.0058889644322098365
2	boring	0.011777928864419673
3	borrowed	0.006772309097041311
3	borrowing	0.006772309097041311
3	borrows	0.006772309097041311
10	both	0.0088919221681442
9	both	0.006734049842820502
9	boy	0.009634247251021112
1	boyfriend	0.01485538769673578
10	br	0.007882319203065908
7	br	0.011889164797957746
6	br	0.004852720325697039
5	br	0.017570194282696176
3	br	0.010490439527609776
4	br	0.011599185168739265
2	br	0.0054732727970137965
2	branches	0.0058889644322098365
7	bravery	0.009594104554141858
1	broke	0.01485538769673578
5	brought	0.011342783709330275
1	but	0.006903386011717401
9	but	0.004477091346511285
7	but	0.0014861455997447182
6	but	0.0024263601628485196
3	but	0.006294263716565865
4	but	0.00869938887655445
2	but	0.0009122121328356328
2	butt	0.0058889644322098365
9	butter	0.009634247251021112
5	butterfly	0.011342783709330275
9	by	0.007667704869239791
7	by	0.003817878049475646
3	by	0.0026949727408063385
2	by	0.0023434545572229033
3	came	0.006772309097041311
10	can	0.005062379734111354
7	can	0.003817878049475646
6	can	0.006233270284858198
3	can	0.008084918222419015
5	capable	0.011342783709330275
8	captain	0.01849465938147828
3	carries	0.006772309097041311
4	case	0.018720204008081675
8	cases	0.00924732969073914
3	cast	0.006772309097041311
4	caught	0.018720204008081675
8	center	0.01849465938147828
8	cg	0.00924732969073914
1	challenging	0.01485538769673578
9	character	0.006734049842820502
4	character	0.013084861076700004
10	characters	0.01995535034794369
7	characters	0.005016553351358067
3	characters	0.007082192966623153
6	checking	0.015663844170027523
6	cheesy	0.015663844170027523
8	circumstances	0.00924732969073914
5	claims	0.011342783709330275
8	class	0.00924732969073914
3	clever	0.006772309097041311
6	cliches	0.015663844170027523
2	close	0.0058889644322098365
9	coast	0.0038338524346198956
7	coast	0.01145363414842694
